epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1819.65,1.63351,0.93873,1.41376,0.58815,0.6,0.67254,0.32653,1.81751,1.33495,1.91468,0.0011486,0.0011486,0.0011486
45,1860.94,1.54988,0.88262,1.37571,0.86328,0.80367,0.91464,0.51089,1.51791,1.06316,1.74161,0.0011288,0.0011288,0.0011288
46,1902.33,1.53499,0.87301,1.40405,0.87035,0.73241,0.85336,0.45864,1.55792,1.1955,1.7953,0.001109,0.001109,0.001109
47,1943.75,1.53499,0.85859,1.3618,0.94,0.78182,0.93741,0.51499,1.55188,1.04274,1.75906,0.0010892,0.0010892,0.0010892
48,1985.14,1.55699,0.93229,1.43175,0.91369,0.96239,0.9758,0.5622,1.44194,1.00481,1.64057,0.0010694,0.0010694,0.0010694
49,2026.92,1.55271,0.87952,1.39699,0.89341,0.91447,0.96792,0.58301,1.43946,0.92881,1.63802,0.0010496,0.0010496,0.0010496
50,2068.62,1.57414,0.86202,1.36252,0.68038,0.8,0.80639,0.38132,1.65313,1.24551,1.80062,0.0010298,0.0010298,0.0010298
51,2110.7,1.48152,0.83792,1.34165,0.83754,0.94545,0.93904,0.50529,1.48801,1.07437,1.74496,0.00101,0.00101,0.00101
52,2152.9,1.48521,0.83093,1.35471,0.85159,0.90909,0.91996,0.53966,1.39427,0.99119,1.64992,0.0009902,0.0009902,0.0009902
53,2195.16,1.49339,0.80226,1.29758,0.91242,0.94709,0.95826,0.54252,1.48902,0.93495,1.6974,0.0009704,0.0009704,0.0009704
54,2236.59,1.50577,0.83149,1.35185,0.8978,0.95843,0.95345,0.52501,1.49514,0.96611,1.73122,0.0009506,0.0009506,0.0009506
55,2279.54,1.51935,0.8173,1.33413,0.8711,0.98295,0.95124,0.53882,1.51381,1.04366,1.72682,0.0009308,0.0009308,0.0009308
56,2322.14,1.50863,0.80139,1.30959,0.89377,0.91794,0.96942,0.55606,1.40796,0.98666,1.63795,0.000911,0.000911,0.000911
57,2364.95,1.4709,0.79086,1.33365,0.92728,0.92727,0.97098,0.51761,1.59042,0.9881,1.75917,0.0008912,0.0008912,0.0008912
58,2407.45,1.43631,0.78277,1.32375,0.98153,0.96642,0.99093,0.62934,1.2986,0.85028,1.5962,0.0008714,0.0008714,0.0008714
59,2450.14,1.42078,0.78236,1.31866,0.83234,0.90267,0.92919,0.52261,1.46297,0.95449,1.65116,0.0008516,0.0008516,0.0008516
60,2492.8,1.44184,0.79805,1.34141,0.82096,0.91716,0.94144,0.56117,1.37965,0.93933,1.62964,0.0008318,0.0008318,0.0008318
61,2536.06,1.47448,0.8016,1.34678,0.94608,0.92727,0.97714,0.59539,1.36637,0.89193,1.61395,0.000812,0.000812,0.000812
62,2578.98,1.43306,0.77076,1.32165,0.79292,0.90512,0.93389,0.51654,1.44808,1.08718,1.6519,0.0007922,0.0007922,0.0007922
63,2621.59,1.41641,0.76492,1.27328,0.9099,0.91819,0.96001,0.54388,1.45532,0.95033,1.6437,0.0007724,0.0007724,0.0007724
64,2664.43,1.46229,0.76813,1.32824,0.93623,1,0.98418,0.59237,1.42323,0.80786,1.61445,0.0007526,0.0007526,0.0007526
65,2707.53,1.41778,0.75759,1.31186,0.95574,0.98182,0.983,0.57347,1.42022,0.78028,1.59606,0.0007328,0.0007328,0.0007328
66,2750.16,1.43817,0.83625,1.33066,0.91093,0.92973,0.96018,0.52058,1.51774,0.99137,1.68186,0.000713,0.000713,0.000713
67,2792.7,1.47836,0.82239,1.37559,0.89804,1,0.97411,0.61583,1.31043,0.87031,1.53984,0.0006932,0.0006932,0.0006932
68,2835.2,1.41246,0.78456,1.29737,0.94188,1,0.98895,0.60636,1.35987,0.82459,1.57866,0.0006734,0.0006734,0.0006734
69,2878.16,1.41728,0.78212,1.28341,0.90183,0.87273,0.9378,0.51041,1.50644,1.0306,1.64587,0.0006536,0.0006536,0.0006536
